subject_name,course_name,abs_course_url
Computer Science,Probabilistic Graphical Models 3: Learning,https://www.classcentral.com/course/coursera-probabilistic-graphical-models-3-learning-7293
Computer Science,Network Protocols and Architecture,https://www.classcentral.com/course/coursera-network-protocols-and-architecture-9159
Computer Science,Data Communications and Network Services,https://www.classcentral.com/course/coursera-data-communications-and-network-services-9160
Computer Science,Introduction to Cloud Identity,https://www.classcentral.com/course/coursera-introduction-to-cloud-identity-10785
Computer Science,IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies,https://www.classcentral.com/course/coursera-iot-internet-of-things-wireless-cloud-computing-emerging-technologies-11982
Computer Science,IS/IT Governance,https://www.classcentral.com/course/coursera-is-it-governance-12171
Computer Science,Introduction to Formal Concept Analysis,https://www.classcentral.com/course/coursera-introduction-to-formal-concept-analysis-7769
Computer Science,System Validation (3): Requirements by modal formulas,https://www.classcentral.com/course/coursera-system-validation-3-requirements-by-modal-formulas-7808
Computer Science,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",https://www.classcentral.com/course/coursera-greedy-algorithms-minimum-spanning-trees-and-dynamic-programming-7350
Computer Science,Detecting and Mitigating Cyber Threats and Attacks,https://www.classcentral.com/course/coursera-detecting-and-mitigating-cyber-threats-and-attacks-9419
Computer Science,Proactive Computer Security,https://www.classcentral.com/course/coursera-proactive-computer-security-9422
Computer Science,Cryptographic Hash and Integrity Protection,https://www.classcentral.com/course/coursera-cryptographic-hash-and-integrity-protection-9586
Computer Science,Asymmetric Cryptography and Key Management,https://www.classcentral.com/course/coursera-asymmetric-cryptography-and-key-management-9533
Computer Science,Symmetric Cryptography,https://www.classcentral.com/course/coursera-symmetric-cryptography-9534
Computer Science,Fundamentals of Parallelism on Intel Architecture,https://www.classcentral.com/course/coursera-fundamentals-of-parallelism-on-intel-architecture-9390
Computer Science,TCP/IP and Advanced Topics,https://www.classcentral.com/course/coursera-tcp-ip-and-advanced-topics-9269
Computer Science,Internet of Things V2: DragonBoard™ bring up and community ecosystem,https://www.classcentral.com/course/coursera-internet-of-things-v2-dragonboard-bring-up-and-community-ecosystem-10379
Computer Science,La Disrupción del Blockchain,https://www.classcentral.com/course/coursera-la-disrupcion-del-blockchain-10495
Computer Science,The Social and Technical Context of Health Informatics,https://www.classcentral.com/course/coursera-the-social-and-technical-context-of-health-informatics-12789
Computer Science,Aplicaciones musicales con Arduino,https://www.classcentral.com/course/coursera-aplicaciones-musicales-con-arduino-12416
Computer Science,Web of Data,https://www.classcentral.com/course/coursera-web-of-data-13103
Computer Science,Identifying Security Vulnerabilities in C/C++Programming,https://www.classcentral.com/course/coursera-identifying-security-vulnerabilities-in-c-c-programming-14509
Computer Science,Elastic Cloud Infrastructure: Containers and Services dalam bahasa Indonesia ,https://www.classcentral.com/course/coursera-elastic-cloud-infrastructure-containers-and-services-dalam-bahasa-indonesia-14510
Computer Science,Architecting with Google Kubernetes Engine: Production 日本語版,https://www.classcentral.com/course/coursera-architecting-with-google-kubernetes-engine-production--13587
Computer Science,Applied AI with DeepLearning,https://www.classcentral.com/course/coursera-applied-ai-with-deeplearning-13659
Computer Science,Machine Learning Using SAS Viya,https://www.classcentral.com/course/coursera-machine-learning-using-sas-viya-13704
Computer Science,Future Development in Supply Chain Finance and Blockchain Technology,https://www.classcentral.com/course/coursera-future-development-in-supply-chain-finance-and-blockchain-technology-13265
Computer Science,Natural Language Processing in TensorFlow,https://www.classcentral.com/course/coursera-natural-language-processing-in-tensorflow-13801
Computer Science,Architecting with Google Kubernetes Engine: Workloads,https://www.classcentral.com/course/coursera-architecting-with-google-kubernetes-engine-workloads-13588
Computer Science,"Business Considerations for Modernizing Networks for 5G, IoT and AI",https://www.classcentral.com/course/edx-business-considerations-for-modernizing-networks-for-5g-iot-and-ai-13841
Computer Science,Open Infrastructure to Support the 5G Transition,https://www.classcentral.com/course/edx-open-infrastructure-to-support-the-5g-transition-13842
Computer Science,Art and Science of Machine Learning en Français,https://www.classcentral.com/course/coursera-art-and-science-of-machine-learning-en-francais-12634
Computer Science,Human-Computer Interaction I: Fundamentals & Design Principles,https://www.classcentral.com/course/edx-human-computer-interaction-i-fundamentals-design-principles-14444
Computer Science,"Human-Computer Interaction IV: Evaluation, Agile Methods & Beyond",https://www.classcentral.com/course/edx-human-computer-interaction-iv-evaluation-agile-methods-beyond-14447
Computer Science,Geometric Algorithms,https://www.classcentral.com/course/coursera-geometric-algorithms-12815
Computer Science,"Human-Computer Interaction II: Cognition, Context & Culture",https://www.classcentral.com/course/edx-human-computer-interaction-ii-cognition-context-culture-14445
Computer Science,"Human-Computer Interaction III: Ethics, Needfinding & Prototyping",https://www.classcentral.com/course/edx-human-computer-interaction-iii-ethics-needfinding-prototyping-14446
Computer Science,Data Structures and Software Design,https://www.classcentral.com/course/edx-data-structures-and-software-design-8517
Computer Science,数据结构基础,https://www.classcentral.com/course/coursera--2761
Computer Science,Programming for the Internet of Things Project,https://www.classcentral.com/course/coursera-programming-for-the-internet-of-things-project-5118
Computer Science,Capstone:  Autonomous Runway Detection for IoT,https://www.classcentral.com/course/coursera-capstone-autonomous-runway-detection-for-iot-9141
Computer Science,Методы и средства защиты информации,https://www.classcentral.com/course/coursera------9988
Computer Science,An Introduction to Practical Deep Learning,https://www.classcentral.com/course/coursera-an-introduction-to-practical-deep-learning-10449
Computer Science,Using SAS Viya REST APIs with Python and R,https://www.classcentral.com/course/coursera-using-sas-viya-rest-apis-with-python-and-r-13810
